pais,edad,sexo,profesion,salario,subcategoria,edad_producto,alto,ancho,profundidad,edad_relevante,cantidad_producto,precio_unitario,iva,subtotal,total,ganancia,clase
21,47,2,2,1000,7,20,51.1,16.2,36.5,1,2,229.69,55.13,459.38,514.51,41.76,1
21,47,2,2,1000,30,2,24.32,16.12,0,0,1,9.63,1.16,9.63,10.79,0.88,13
24,25,2,4,900,16,3,14.84,52.185,52.185,0,2,6.04,1.45,12.08,13.53,1.10,12
21,47,2,2,1000,29,3,25.5,13.26,0,0,1,9.63,1.16,9.63,10.79,0.88,13
22,31,2,4,750,8,29,18.2,44.4,37,1,4,350.58,168.28,1402.32,1570.60,127.48,1
22,31,2,4,750,4,10,29.1,29.1,30.9,1,4,120.89,58.03,483.56,541.59,43.96,1
22,62,2,6,750,18,3,35.28,26.27,44.730000000000004,0,1,6.04,0.72,6.04,6.76,0.55,12
21,27,2,3,1000,19,3,25.44,25.44,25.44,0,5,6.04,3.62,30.20,33.82,2.75,12
25,28,2,3,750,31,3,12.5,6.5,0,0,5,9.63,5.78,48.15,53.93,4.40,13
25,28,2,3,750,6,4,36.4,28.8,26,1,3,48.36,17.41,145.08,162.49,13.20,1
21,53,2,2,750,26,3,20.54,15.73,0,0,1,9.63,1.16,9.63,10.79,0.88,13
21,53,2,2,750,19,3,39.485,13.515,13.515,0,4,6.04,2.90,24.16,27.06,2.20,12
21,53,2,2,750,2,41,43.75,22.5,31.25,1,4,495.65,237.91,1982.60,2220.51,180.24,1
21,53,2,2,750,18,3,35.56,25.915,25.915,0,1,6.04,0.72,6.04,6.76,0.55,12
21,53,2,2,750,21,3,27.03,27.03,25.97,0,1,6.04,0.72,6.04,6.76,0.55,12
21,53,2,2,750,27,2,30.07,13.39,0,0,4,9.63,4.62,38.52,43.14,3.52,13
21,53,2,2,750,28,3,22.14,10.66,0,0,1,9.63,1.16,9.63,10.79,0.88,13
24,44,2,5,750,18,2,18,18,32,0,2,6.04,1.45,12.08,13.53,1.10,12
24,44,2,5,750,37,2,35.25,28.2,28.2,0,2,12.09,2.90,24.18,27.08,2.20,14
24,44,2,5,750,27,2,24.38,12.22,0,0,5,9.63,5.78,48.15,53.93,4.40,13
24,44,2,5,750,17,2,17.36,22.009999999999998,22.009999999999998,0,3,6.04,2.17,18.12,20.29,1.65,12
24,44,2,5,750,21,2,35.5,35.5,35.5,0,5,6.04,3.62,30.20,33.82,2.75,12
24,25,2,6,2000,28,2,16.47,7.93,0,0,4,9.63,4.62,38.52,43.14,3.52,13
24,25,2,6,2000,2,39,41.6,28.8,26,1,1,459.38,55.13,459.38,514.51,41.76,1
24,25,2,6,2000,8,8,33.3,26.7,33.3,1,1,96.71,11.61,96.71,108.32,8.79,1
25,30,1,6,2000,7,39,21,23.2,12.6,1,3,471.47,169.73,1414.41,1584.14,128.58,1
25,30,1,6,2000,7,5,51.8,44.4,37,1,3,48.36,17.41,145.08,162.49,13.20,1
25,30,1,6,2000,21,2,35.5,35.5,35.5,0,5,6.04,3.62,30.20,33.82,2.75,12
25,30,1,6,2000,3,10,57.2,50.05,17.1,1,2,108.80,26.11,217.60,243.71,19.78,1
25,30,1,6,2000,4,15,25.5,28.75,17,1,4,181.34,87.04,725.36,812.40,65.96,1
21,49,1,6,750,2,4,47.25,16.25,27,1,2,36.27,8.70,72.54,81.24,6.60,1
21,49,1,6,750,36,2,15.2,11.4,11.4,0,4,12.09,5.80,48.36,54.16,4.40,14
21,49,1,6,750,22,2,21.28,34.72,34.72,0,5,6.04,3.62,30.20,33.82,2.75,12
21,49,1,6,750,24,2,37.519999999999996,17.42,0,0,4,9.63,4.62,38.52,43.14,3.52,13
21,49,1,6,750,16,3,29.15,29.15,29.15,0,4,6.04,2.90,24.16,27.06,2.20,12
21,41,2,2,900,20,3,34.25,34.25,15.75,0,4,6.04,2.90,24.16,27.06,2.20,12
21,41,2,2,900,32,2,22.31,13.39,0,0,3,9.63,3.47,28.89,32.36,2.64,13
21,41,2,2,900,7,20,19.2,34,12.8,1,2,241.78,58.03,483.56,541.59,43.96,1
23,35,2,2,1500,8,33,43.65,41.2,36.05,1,1,386.85,46.42,386.85,433.27,35.17,1
23,29,2,3,900,28,2,17.04,16.77,0,0,3,9.63,3.47,28.89,32.36,2.64,13
23,35,2,2,1500,19,3,46.86,24.14,46.86,0,3,6.04,2.17,18.12,20.29,1.65,12
23,35,2,2,1500,21,3,18.55,18.55,18.55,0,2,6.04,1.45,12.08,13.53,1.10,12
23,35,2,2,1500,27,2,22.91,10.27,0,0,3,9.63,3.47,28.89,32.36,2.64,13
23,29,2,3,900,8,39,36.4,24,20.8,1,2,471.47,113.15,942.94,1056.09,85.72,1
23,35,2,2,1500,26,2,24.3,14.3,0,0,5,9.63,5.78,48.15,53.93,4.40,13
24,38,2,6,1500,28,2,32.1,12.09,0,0,4,9.63,4.62,38.52,43.14,3.52,13
24,38,2,6,1500,9,26,25.8,25.8,25.8,1,3,314.31,113.15,942.93,1056.08,85.71,1
21,60,2,6,750,29,3,16.53,18.59,0,0,1,9.63,1.16,9.63,10.79,0.88,13
21,60,2,6,750,23,3,31.32,10.92,0,0,1,9.63,1.16,9.63,10.79,0.88,13
21,60,2,6,750,10,38,12.5,10,7.5,1,3,459.38,165.38,1378.14,1543.52,125.28,1
21,60,2,6,750,8,14,34.75,12.2,20.85,1,2,157.16,37.72,314.32,352.04,28.58,1
21,39,2,2,1000,33,39,8.55,6.84,17.16,1,5,459.38,275.63,2296.90,2572.53,208.80,14
21,39,2,2,1000,26,2,36.480000000000004,11.18,0,0,4,9.63,4.62,38.52,43.14,3.52,13
25,61,2,1,2000,17,3,17.755000000000003,35.245,17.755000000000003,0,2,6.04,1.45,12.08,13.53,1.10,12
25,61,2,1,2000,5,31,49.2,43.05,23.1,1,4,362.67,174.08,1450.68,1624.76,131.88,1
25,61,2,1,2000,15,3,19.880000000000003,19.880000000000003,51.12,0,1,6.04,0.72,6.04,6.76,0.55,12
23,48,1,1,900,24,3,20.16,17.81,0,0,1,9.63,1.16,9.63,10.79,0.88,13
23,48,1,1,900,20,2,28.62,24.38,28.62,0,4,6.04,2.90,24.16,27.06,2.20,12
23,48,1,1,900,23,2,27.28,14.56,0,0,3,9.63,3.47,28.89,32.36,2.64,13
23,48,1,1,900,7,20,42.7,36.6,30.5,1,5,241.78,145.07,1208.90,1353.97,109.90,1
23,27,2,6,1500,18,2,34.72,26.98,26.98,0,5,6.04,3.62,30.20,33.82,2.75,12
23,27,2,6,1500,15,3,20.67,32.33,20.67,0,4,6.04,2.90,24.16,27.06,2.20,12
25,52,2,3,750,2,16,58,43.5,13.75,1,3,193.42,69.63,580.26,649.89,52.74,1
25,52,2,3,750,29,2,36.269999999999996,15.21,0,0,3,9.63,3.47,28.89,32.36,2.64,13
25,52,2,3,750,18,3,28.4,28.4,28.4,0,1,6.04,0.72,6.04,6.76,0.55,12
25,52,2,3,750,20,3,41.72,41.72,41.72,0,1,6.04,0.72,6.04,6.76,0.55,12
25,52,2,3,750,20,3,21.5,21.5,28.5,0,4,6.04,2.90,24.16,27.06,2.20,12
25,40,2,6,750,20,2,23.785,62.51,62.51,0,4,6.04,2.90,24.16,27.06,2.20,12
25,40,2,6,750,26,2,23.52,10.92,0,0,2,9.63,2.31,19.26,21.57,1.76,13
24,47,2,6,750,32,2,34.29,9.49,0,0,4,9.63,4.62,38.52,43.14,3.52,13
24,47,2,6,750,25,2,29.38,14.69,0,0,3,9.63,3.47,28.89,32.36,2.64,13
24,47,2,6,750,19,2,33.37,44.18,44.18,0,4,6.04,2.90,24.16,27.06,2.20,12
24,47,2,6,750,24,2,21.84,14.17,0,0,1,9.63,1.16,9.63,10.79,0.88,13
22,44,2,1,2000,24,2,27.16,12.61,0,0,4,9.63,4.62,38.52,43.14,3.52,13
22,44,2,1,2000,32,3,29.04,15.73,0,0,1,9.63,1.16,9.63,10.79,0.88,13
22,44,2,1,2000,15,2,31.64,24.36,31.64,0,1,6.04,0.72,6.04,6.76,0.55,12
22,44,2,1,2000,7,41,25.5,28.75,17,1,3,483.56,174.08,1450.68,1624.76,131.88,1
22,44,2,1,2000,17,2,41.72,18.105,18.105,0,4,6.04,2.90,24.16,27.06,2.20,12
22,44,2,1,2000,26,3,29.7,14.3,0,0,5,9.63,5.78,48.15,53.93,4.40,13
22,44,2,1,2000,9,23,36,36,36,1,4,265.96,127.66,1063.84,1191.50,96.72,1
24,44,2,5,750,34,3,18.25,25.4,25.4,0,1,12.09,1.45,12.09,13.54,1.10,14
24,44,2,5,750,30,3,29.4,12.74,0,0,1,9.63,1.16,9.63,10.79,0.88,13
24,31,2,5,750,10,36,39.6,44.8,30.8,1,4,435.20,208.90,1740.80,1949.70,158.24,1
24,31,2,5,750,9,28,23.5,21.2,14.1,1,2,326.40,78.34,652.80,731.14,59.34,1
24,31,2,5,750,30,2,42,19.5,0,0,3,9.63,3.47,28.89,32.36,2.64,13
24,31,2,5,750,8,39,34.8,26.1,28.25,1,4,471.47,226.31,1885.88,2112.19,171.44,1
24,31,2,5,750,25,2,25.8,11.18,0,0,2,9.63,2.31,19.26,21.57,1.76,13
24,58,2,4,1000,25,2,31.92,8.71,0,0,1,9.63,1.16,9.63,10.79,0.88,13
23,50,2,5,2000,24,3,24.03,14.43,0,0,3,9.63,3.47,28.89,32.36,2.64,13
23,50,2,5,2000,2,38,18.9,16.2,13.5,1,2,447.29,107.35,894.58,1001.93,81.32,1
25,60,2,2,1500,18,3,20.59,27.26,66.74,0,2,6.04,1.45,12.08,13.53,1.10,12
25,60,2,2,1500,32,2,35.28,9.620000000000001,0,0,1,9.63,1.16,9.63,10.79,0.88,13
25,60,2,2,1500,22,3,23.585,23.585,29.415,0,4,6.04,2.90,24.16,27.06,2.20,12
25,29,1,2,900,17,2,41.18,39.480000000000004,39.480000000000004,0,4,6.04,2.90,24.16,27.06,2.20,12
23,26,1,5,2000,31,2,33.54,9.23,0,0,5,9.63,5.78,48.15,53.93,4.40,13
23,26,1,5,2000,20,2,14.31,38.69,38.69,0,5,6.04,3.62,30.20,33.82,2.75,12
23,26,1,5,2000,31,3,28.34,11.83,0,0,5,9.63,5.78,48.15,53.93,4.40,13
25,39,2,3,1000,16,3,30.175,40.825,40.825,0,3,6.04,2.17,18.12,20.29,1.65,12
25,48,2,6,750,5,36,32.9,31.8,26.5,1,5,423.12,253.87,2115.60,2369.47,192.35,1
25,43,2,3,1500,3,31,39.6,35.35,29.7,1,4,374.76,179.88,1499.04,1678.92,136.28,1
25,43,2,3,1500,24,2,27.04,12.48,0,0,4,9.63,4.62,38.52,43.14,3.52,13
21,29,2,4,900,10,13,26.6,19,24.8,1,2,157.16,37.72,314.32,352.04,28.58,1
21,29,2,4,900,25,2,31.92,8.71,0,0,4,9.63,4.62,38.52,43.14,3.52,13
21,29,2,4,900,15,2,28.84,28.84,27.16,0,3,6.04,2.17,18.12,20.29,1.65,12
25,43,2,3,1500,25,3,33.84,18.33,0,0,2,9.63,2.31,19.26,21.57,1.76,13
25,43,2,3,1500,6,18,18,35,12,1,5,205.51,123.31,1027.55,1150.86,93.40,1
21,53,2,2,750,28,3,45.57,19.11,0,0,4,9.63,4.62,38.52,43.14,3.52,13
25,26,2,5,1000,5,36,32.9,31.8,26.5,1,3,423.12,152.32,1269.36,1421.68,115.41,1
25,26,2,5,1000,38,2,10.8,8.1,21.9,0,3,12.09,4.35,36.27,40.62,3.30,14
25,26,2,5,1000,5,33,40.95,36.4,31.85,1,2,398.94,95.75,797.88,893.63,72.54,1
25,26,2,5,1000,31,2,32.64,13.26,0,0,1,9.63,1.16,9.63,10.79,0.88,13
23,41,2,1,1000,10,37,24.6,20.5,23.6,1,3,435.20,156.67,1305.60,1462.27,118.68,1
23,41,2,1,1000,3,34,51.2,21.6,18,1,3,398.94,143.62,1196.82,1340.44,108.81,1
23,41,2,1,1000,8,23,21.3,17.75,25.8,1,2,278.05,66.73,556.10,622.83,50.56,1
23,41,2,1,1000,24,3,25.48,12.74,0,0,4,9.63,4.62,38.52,43.14,3.52,13
25,52,2,3,750,7,16,43.8,36.5,10.8,1,4,193.42,92.84,773.68,866.52,70.32,1
25,52,2,3,750,10,22,60,17.5,15,1,2,265.96,63.83,531.92,595.75,48.36,1
23,43,2,4,900,17,2,45.085,34.31,34.31,0,2,6.04,1.45,12.08,13.53,1.10,12
24,33,1,2,1000,21,3,23.52,41.18,29.82,0,1,6.04,0.72,6.04,6.76,0.55,12
24,33,1,2,1000,6,10,29.75,25.5,28.75,1,1,120.89,14.51,120.89,135.40,10.99,1
24,33,1,2,1000,32,3,27.54,12.74,0,0,3,9.63,3.47,28.89,32.36,2.64,13
24,33,1,2,1000,18,3,13.75,36.25,13.75,0,1,6.04,0.72,6.04,6.76,0.55,12
22,39,1,2,1000,29,2,14.26,17.94,0,0,2,9.63,2.31,19.26,21.57,1.76,13
22,47,2,5,2000,21,2,38.64,38.64,17.36,0,5,6.04,3.62,30.20,33.82,2.75,12
22,47,2,5,2000,28,2,32.4,14.04,0,0,3,9.63,3.47,28.89,32.36,2.64,13
22,47,2,5,2000,22,3,35.245,17.755000000000003,35.245,0,4,6.04,2.90,24.16,27.06,2.20,12
21,24,2,2,1500,9,41,43.65,38.8,33.95,1,1,495.65,59.48,495.65,555.13,45.06,1
21,24,2,2,1500,24,2,33.06,11.18,0,0,5,9.63,5.78,48.15,53.93,4.40,13
25,59,2,3,1000,30,3,34.56,11.96,0,0,4,9.63,4.62,38.52,43.14,3.52,13
21,45,2,1,2000,4,17,24,30,16,1,5,193.42,116.05,967.10,1083.15,87.90,1
21,45,2,1,2000,26,2,23.52,10.92,0,0,5,9.63,5.78,48.15,53.93,4.40,13
21,45,2,1,2000,25,2,36.66,18.33,0,0,5,9.63,5.78,48.15,53.93,4.40,13
21,45,2,1,2000,3,39,16.8,43.2,43.2,1,5,459.38,275.63,2296.90,2572.53,208.80,1
24,25,2,4,900,5,41,52.4,24.15,39.3,1,3,483.56,174.08,1450.68,1624.76,131.88,1
24,25,2,4,900,33,39,8.55,6.84,17.16,1,4,459.38,220.50,1837.52,2058.02,167.04,14
22,45,1,5,2000,31,2,22.5,14.3,0,0,2,9.63,2.31,19.26,21.57,1.76,13
22,45,1,5,2000,16,2,39.485,13.515,39.485,0,5,6.04,3.62,30.20,33.82,2.75,12
22,45,1,5,2000,11,36,43.2,43.2,43.2,1,4,435.20,208.90,1740.80,1949.70,158.24,1
24,44,2,5,750,4,11,39,21,21,1,3,120.89,43.52,362.67,406.19,32.97,1
24,44,2,5,750,22,2,15.25,15.25,34.75,0,1,6.04,0.72,6.04,6.76,0.55,12
24,44,2,5,750,6,13,33,33,27,1,4,145.07,69.63,580.28,649.91,52.76,1
22,25,2,6,1500,24,3,32.25,9.23,0,0,4,9.63,4.62,38.52,43.14,3.52,13
21,56,1,5,750,6,10,29.75,25.5,28.75,1,1,120.89,14.51,120.89,135.40,10.99,1
23,59,2,1,1000,28,3,41.230000000000004,8.71,0,0,4,9.63,4.62,38.52,43.14,3.52,13
23,59,2,1,1000,2,6,23.8,39.6,17,1,2,72.53,17.41,145.06,162.47,13.18,1
22,24,2,6,750,31,2,32.64,13.26,0,0,5,9.63,5.78,48.15,53.93,4.40,13
22,24,2,6,750,28,3,30.96,16.77,0,0,2,9.63,2.31,19.26,21.57,1.76,13
24,34,2,4,1000,33,29,25.08,15.48,20.52,1,3,338.49,121.86,1015.47,1137.33,92.31,14
24,34,2,4,1000,5,35,27.65,36.3,19.75,1,4,411.03,197.29,1644.12,1841.41,149.48,1
24,34,2,4,1000,32,2,34.29,9.49,0,0,5,9.63,5.78,48.15,53.93,4.40,13
25,26,2,2,1000,31,3,18.560000000000002,17.68,0,0,5,9.63,5.78,48.15,53.93,4.40,13
25,26,2,2,1000,27,2,21.28,9.879999999999999,0,0,4,9.63,4.62,38.52,43.14,3.52,13
25,26,2,2,1000,4,19,56.7,50.4,25.9,1,5,217.60,130.56,1088.00,1218.56,98.90,1
25,26,2,2,1000,15,3,14.84,41.16,14.84,0,4,6.04,2.90,24.16,27.06,2.20,12
22,36,2,2,1500,2,33,13.75,29,8.25,1,2,398.94,95.75,797.88,893.63,72.54,1
22,36,2,2,1500,34,3,13,27,27,0,5,12.09,7.25,60.45,67.70,5.50,14
22,44,2,6,750,27,2,13.78,19.11,0,0,1,9.63,1.16,9.63,10.79,0.88,13
22,44,2,6,750,8,37,22.4,34,27.2,1,3,435.20,156.67,1305.60,1462.27,118.68,1
25,40,2,2,1500,28,2,35.28,16.38,0,0,2,9.63,2.31,19.26,21.57,1.76,13
21,52,2,2,1000,27,2,21.28,9.879999999999999,0,0,5,9.63,5.78,48.15,53.93,4.40,13
21,35,2,1,1500,35,3,17.6,21.6,14.4,0,5,12.09,7.25,60.45,67.70,5.50,14
21,35,2,1,1500,4,27,37.25,10.2,22.35,1,3,314.31,113.15,942.93,1056.08,85.71,1
21,35,2,1,1500,38,2,21.75,17.4,22.6,0,4,12.09,5.80,48.36,54.16,4.40,14
21,35,2,1,1500,24,3,15.81,6.63,0,0,4,9.63,4.62,38.52,43.14,3.52,13
21,46,1,3,1000,32,3,14.79,19.37,0,0,5,9.63,5.78,48.15,53.93,4.40,13
21,46,1,3,1000,16,3,28.884999999999998,28.884999999999998,28.884999999999998,0,4,6.04,2.90,24.16,27.06,2.20,12
21,46,1,3,1000,15,2,15.12,15.12,15.12,0,3,6.04,2.17,18.12,20.29,1.65,12
21,46,1,3,1000,37,3,9.72,8.64,20.44,0,4,12.09,5.80,48.36,54.16,4.40,14
22,39,2,4,1000,18,3,16.52,16.52,39.480000000000004,0,2,6.04,1.45,12.08,13.53,1.10,12
22,39,2,4,1000,22,3,22.68,33.32,33.32,0,4,6.04,2.90,24.16,27.06,2.20,12
22,39,2,4,1000,27,2,38.08,10.53,0,0,1,9.63,1.16,9.63,10.79,0.88,13
23,39,2,6,2000,32,2,12.24,19.37,0,0,5,9.63,5.78,48.15,53.93,4.40,13
23,39,2,6,2000,23,2,27.28,14.56,0,0,1,9.63,1.16,9.63,10.79,0.88,13
23,41,2,5,1000,32,2,24.48,13.26,0,0,4,9.63,4.62,38.52,43.14,3.52,13
23,41,2,5,1000,8,24,55.6,41.7,15.25,1,2,290.14,69.63,580.28,649.91,52.76,1
23,41,2,5,1000,10,8,24.15,39.3,17.25,1,1,96.71,11.61,96.71,108.32,8.79,1
23,57,1,2,1500,11,22,28.5,28.5,28.5,1,4,265.96,127.66,1063.84,1191.50,96.72,1
23,57,1,2,1500,37,2,19.08,16.96,13.16,0,4,12.09,5.80,48.36,54.16,4.40,14
25,33,2,4,1000,10,32,53.1,47.2,41.3,1,4,386.85,185.69,1547.40,1733.09,140.68,1
25,60,1,6,750,31,2,29.44,16.64,0,0,4,9.63,4.62,38.52,43.14,3.52,13
25,60,1,6,750,27,2,16.53,7.41,0,0,5,9.63,5.78,48.15,53.93,4.40,13
25,60,1,6,750,32,3,16,17.68,0,0,3,9.63,3.47,28.89,32.36,2.64,13
25,60,1,6,750,23,3,15.96,18.59,0,0,3,9.63,3.47,28.89,32.36,2.64,13
25,33,2,4,1000,30,3,25.3,14.3,0,0,1,9.63,1.16,9.63,10.79,0.88,13
25,33,2,4,1000,33,24,16.2,12.15,17.85,1,4,290.14,139.27,1160.56,1299.83,105.52,14
25,60,2,2,1500,25,3,43.5,18.85,0,0,1,9.63,1.16,9.63,10.79,0.88,13
25,60,2,2,1500,7,42,25.2,21.6,32,1,5,495.65,297.39,2478.25,2775.64,225.30,1
23,48,1,1,900,2,16,58,43.5,13.75,1,3,193.42,69.63,580.26,649.89,52.74,1
23,48,1,1,900,17,3,18.2,18.2,37.8,0,5,6.04,3.62,30.20,33.82,2.75,12
23,48,1,1,900,17,2,45.44,60.16,60.16,0,4,6.04,2.90,24.16,27.06,2.20,12
23,48,1,1,900,20,2,21.28,34.72,34.72,0,5,6.04,3.62,30.20,33.82,2.75,12
23,48,1,1,900,2,18,30.9,30.9,30.9,1,1,217.60,26.11,217.60,243.71,19.78,1
23,48,1,1,900,19,3,19.875,33.125,19.875,0,2,6.04,1.45,12.08,13.53,1.10,12
24,37,2,6,1000,20,2,33.37,37.63,33.37,0,4,6.04,2.90,24.16,27.06,2.20,12
24,37,2,6,1000,21,2,23.075,63.45,30.55,0,1,6.04,0.72,6.04,6.76,0.55,12
24,37,2,6,1000,32,3,16.75,17.29,0,0,2,9.63,2.31,19.26,21.57,1.76,13
25,61,2,1,2000,4,9,47.2,41.3,24.6,1,2,108.80,26.11,217.60,243.71,19.78,1
25,61,2,1,2000,27,3,15.66,7.02,0,0,2,9.63,2.31,19.26,21.57,1.76,13
25,61,2,1,2000,19,2,19.08,33.92,33.92,0,4,6.04,2.90,24.16,27.06,2.20,12
25,61,2,1,2000,35,3,21.4,21.4,18.6,0,3,12.09,4.35,36.27,40.62,3.30,14
22,53,2,2,750,3,11,15,12,21,1,3,120.89,43.52,362.67,406.19,32.97,1
23,26,2,4,1000,8,43,37,29.6,7.8,1,1,519.83,62.38,519.83,582.21,47.26,1
